Car EvNum,Ped EvNum,Car Distance,Brake Pedal,COUNTER,F3, FC5, AF3, F7, T7, P7, O1, O2, P8, T8, F8, AF4, FC6, F4
0,0,550507.1875,0.0,34,2209,16094,12575,10783,13728,8035,11295,33,9951,8478,14561,5407,7648,11101,
0,0,550523.1875,0.0,35,2274,1054,12959,11487,13920,8291,10911,33,6111,4766,11937,4383,6560,9885,
0,0,550523.1875,0.0,36,2337,15646,12319,11487,13920,8163,10975,33,7327,4958,11553,4767,7648,10013,
0,0,550539.1875,0.0,37,2402,670,12575,10847,13280,8099,10655,33,7775,5534,12513,4639,7456,10909,
0,0,550539.1875,0.0,38,2466,670,12767,11551,14112,8419,11231,33,7583,5918,13217,5151,8224,10973,
0,0,550555.1875,0.0,39,2529,16286,12319,11487,13920,7907,10911,33,8863,7262,13793,5535,7968,10653,
0,0,550555.1875,0.0,40,2594,1118,12767,11487,13536,7907,11103,33,6175,4574,11617,3999,6368,10077,
0,0,550571.1875,0.0,41,2657,15326,12191,11615,13920,8291,11487,33,8031,5470,12001,4767,7392,10653,
0,0,550571.1875,0.0,42,2722,478,12127,11167,13088,8227,10527,33,7903,6174,13025,5151,6880,10909,
0,0,550588.1875,0.0,43,2786,1054,12831,11423,13280,8291,11295,33,7263,6046,12897,4959,7008,10781,
0,0,550588.1875,0.0,44,2849,15966,12575,11359,13536,8163,11295,33,9695,7774,13793,5855,8288,11421,
0,0,550604.1875,0.0,45,2914,1566,12831,11423,13344,8291,10591,33,6303,4830,11681,4511,7072,10333,
0,0,550604.1875,0.0,46,2977,16222,12255,11487,13856,8227,11103,33,7327,5150,11809,4383,7072,10077,
0,0,550620.1875,0.0,47,3042,94,12383,11167,13600,7779,10591,33,8351,6302,13345,5023,7072,10781,
0,0,550620.1875,0.0,48,3106,1054,13279,11615,13792,8099,10719,33,6175,4958,12449,4575,6816,10141,
0,0,550636.1875,0.0,49,3169,15966,12575,11551,13600,8099,11103,33,8991,7134,13281,5279,7904,10653,
0,0,550636.1875,0.0,50,3234,1310,12831,11231,13280,8419,10911,33,7903,5918,12897,4447,7008,10909,
0,0,550652.1875,0.0,51,3297,16286,12703,11423,14176,8547,11359,33,7647,5726,12833,4383,6944,10461,
0,0,550652.1875,0.0,52,3361,16222,12255,11423,13664,7971,10911,33,7967,6494,12833,4831,7136,10269,
0,0,550668.1875,0.0,53,3426,670,12767,11487,13408,8291,11167,33,5983,4766,11425,4127,6688,9821,
0,0,550668.1875,0.0,54,3489,15390,12447,11103,13600,8355,11167,33,8287,6686,12769,5087,7904,10589,
0,0,550684.1875,0.0,55,3554,1182,12639,11295,13280,8291,10527,33,7071,6110,12769,4639,7584,10845,
0,0,550684.1875,0.0,56,3618,158,12575,11871,14240,8291,11039,33,7647,6046,12897,4575,7520,10461,
0,0,550700.1875,0.0,57,3681,15838,12447,11295,13792,7907,10527,33,9055,7134,13665,5663,7968,10717,
0,0,550700.1875,0.0,58,3746,1182,12959,11103,13408,8163,10783,33,5471,4510,11681,4575,7264,10461,
0,0,550717.1875,0.0,59,3809,15710,12063,11615,13984,8099,11231,33,7455,5790,12257,4703,7584,10461,
0,0,550717.1875,0.0,60,3874,734,12383,11551,13536,7907,10591,33,8095,6238,13281,4831,7200,10461,
0,0,550717.1875,0.0,61,3938,798,13087,11615,13792,8419,11359,33,7839,6302,13153,5151,7840,10781,
0,0,550733.1875,0.0,62,4002,94,12511,11295,13664,8163,11295,33,8607,7070,13217,5663,8096,11229,
0,0,550733.1875,0.0,63,4066,1310,12703,11231,13472,8291,11167,33,5727,4446,11617,4319,6880,10013,
0,0,550749.1875,0.0,64,4129,15262,12319,11295,13728,8611,11423,33,7967,5918,12193,4639,7264,9629,
0,0,550749.1875,0.0,65,4194,286,12767,11359,13344,8163,10527,33,7647,6110,12769,4959,7008,10141,
0,0,550765.1875,0.0,66,4258,862,13279,11935,13920,7907,11103,33,6879,5662,13025,5023,7776,10333,
0,0,550765.1875,0.0,67,4321,15966,12511,11487,13664,7971,11167,33,10143,7774,14369,5471,8160,10973,
0,0,550781.1875,0.0,68,4386,1630,12639,11295,13152,8547,10847,33,6815,5022,12001,3807,6304,10013,
0,0,550781.1875,0.0,69,4449,16350,12511,11423,13920,8291,11295,33,6751,5342,11553,4255,7008,9629,
0,0,550797.1875,0.0,70,4514,30,12575,10975,13408,7843,10719,33,8031,6494,12705,5087,7136,10333,
0,0,550797.1875,0.0,71,4578,670,12831,11423,13536,8419,10847,33,6815,5150,12065,4703,6880,10461,
0,0,550813.1875,0.0,72,4641,15902,12383,11487,13664,8291,10783,33,8863,7070,13345,5471,7712,10973,
0,0,550813.1875,0.0,73,4706,1182,13151,11487,13408,8099,10655,33,7327,5982,12833,4767,7072,10589,
0,0,550830.1875,0.0,74,4769,16158,13023,11551,13984,8355,11103,33,7967,5662,12513,4767,7584,10205,
0,0,550830.1875,0.0,75,4834,414,12575,11231,13280,7971,10463,33,8031,6110,12833,5087,7392,10333,
0,0,550846.1875,0.0,76,4898,1310,12959,11551,13472,7907,10847,33,6111,4830,11745,4383,6816,10141,
0,0,550846.1875,0.0,77,4961,15198,12191,11231,14048,7907,10975,33,9375,7198,12961,5279,7712,10781,
0,0,550862.1875,0.0,78,5026,1182,12447,11039,13408,8291,10399,33,7711,6366,12833,5023,7264,10717,
0,0,550862.1875,0.0,79,5090,606,12895,11743,13664,8739,11231,33,7391,5790,12705,5087,8032,10781,
0,0,550878.1875,0.0,80,5153,15838,12447,11615,13792,8291,10975,33,8863,6558,13217,5727,8224,11101,
0,0,550878.1875,0.0,81,5218,798,12575,11359,13856,7907,10847,33,6047,4510,11617,4383,6688,10077,
0,0,550894.1875,0.0,82,5281,15518,12127,11295,13856,7715,11103,33,7647,5726,12257,4319,7136,10077,
0,0,550894.1875,0.0,83,5346,670,12575,11231,13472,8099,10847,33,7391,5470,12769,4255,7328,10461,
0,0,550910.1875,0.0,84,5410,222,12703,11551,14112,8611,11487,33,7711,6302,13281,5151,7968,10781,
0,0,550910.1875,0.0,85,5473,16094,12255,11359,13728,8035,10847,33,9247,7646,13985,5663,7904,11165,
0,0,550926.1875,0.0,86,5538,1374,12959,11487,13344,8227,10655,33,5663,4318,11681,3615,6816,10077,
0,0,550926.1875,0.0,87,5601,15710,12319,11295,13792,8355,11423,33,7263,5662,11745,4511,7456,10141,
0,0,550942.1875,0.0,88,5666,734,12383,11167,13216,7971,10847,33,7839,6302,12449,5791,7200,10845,
0,0,550942.1875,0.0,89,5730,926,13023,11935,13536,8355,11167,33,7199,5470,12897,5407,7456,10653,
0,0,550959.1875,0.0,90,5793,15902,12383,11551,13536,8483,11359,33,9439,7518,14433,5087,7712,10909,
0,0,550959.1875,0.0,91,5858,1118,12447,11103,13472,8227,11359,33,6367,5214,12257,3743,6688,10269,
0,0,550959.1875,0.0,92,5921,15774,12255,11423,14112,8227,11359,33,6687,4958,11553,4447,7456,10141,
0,0,550975.1875,0.0,93,5986,94,12319,11359,13152,8355,10591,33,7775,5982,12833,5087,7200,10589,
0,0,550975.1875,0.0,94,6050,670,12511,11487,13344,8227,11359,33,7519,5854,12833,4831,7328,10461,
0,0,550991.1875,0.0,95,6113,15966,12191,11359,13664,7843,11231,33,9439,7390,13601,5727,8352,10781,
0,0,550991.1875,0.0,96,6178,1822,12959,11423,13536,8291,10719,33,6623,5470,12321,5023,7136,10781,
0,0,551007.1875,0.0,97,6242,30,12575,11807,14048,8547,11423,33,7583,5854,12257,5215,7584,11037,
0,0,551007.1875,0.0,98,6305,16350,12127,11551,13344,8163,10847,33,8223,6046,12769,5215,7712,10781,
0,0,551023.1875,0.0,99,6370,1246,12767,11615,13600,8419,11167,33,6047,4318,11745,4191,6816,9949,
0,0,551023.1875,0.0,100,6433,15582,12255,11423,13984,8227,11423,33,8991,7006,13089,5343,7584,10653,
0,0,551039.1875,0.0,101,6498,862,12703,11295,13152,7971,10591,33,7327,5982,12705,5023,7392,10589,
0,0,551039.1875,0.0,102,6562,414,12831,11423,13728,8163,11231,33,7199,5662,12641,4767,8096,10589,
0,0,551055.1875,0.0,103,6626,350,12383,11423,13920,8035,11231,33,9183,7198,13601,5279,8224,11293,
0,0,551055.1875,0.0,104,6690,1502,12831,11999,13856,8547,11423,33,6495,4638,11809,4383,6816,10397,
0,0,551071.1875,0.0,105,6753,15774,12447,11551,13792,8483,11167,33,7583,5278,11937,4703,7136,10141,
0,0,551071.1875,0.0,106,6818,606,12575,10975,13408,8035,10591,33,7199,5406,12129,4895,7072,10589,
0,0,551088.1875,0.0,107,6882,94,12639,11679,14112,8355,11487,33,8095,6366,13089,5151,7712,10717,
0,0,551088.1875,0.0,108,6945,16030,12255,11487,13728,8355,11039,33,9631,7838,14497,5087,7648,10781,
0,0,551104.1875,0.0,109,7010,1310,13023,11295,13344,8419,10527,33,5727,4574,12065,3423,6752,10013,
0,0,551104.1875,0.0,110,7073,15774,12511,11487,13792,8227,10911,33,7455,5470,11745,4447,7712,10333,
0,0,551120.1875,0.0,111,7138,734,12255,11423,13344,8099,10463,33,8351,6430,12705,5087,7072,10845,
0,0,551120.1875,0.0,112,7202,670,12895,11551,13984,8291,11039,33,7455,5982,12833,5023,7520,10845,
0,0,551136.1875,0.0,113,7265,15838,12639,11295,13920,8099,11167,33,8671,7262,13473,5663,8416,11101,
0,0,551136.1875,0.0,114,7330,1438,12511,11231,13088,8547,11167,33,6111,5022,11553,4191,6880,10141,
0,0,551152.1875,0.0,115,7393,16094,12063,11359,13472,8483,11359,33,7583,5662,11681,4383,7200,9885,
0,0,551152.1875,0.0,116,7458,670,12639,11295,13344,7779,10719,33,8031,6174,12833,5023,7392,10269,
0,0,551168.1875,0.0,117,7522,1054,12959,11743,13664,8227,11423,33,7263,5598,12833,4831,7456,10333,
0,0,551168.1875,0.0,118,7585,15774,11871,11487,13536,8419,11167,33,9631,7454,13921,5535,7968,11165,
0,0,551184.1875,0.0,119,7650,1310,12639,11231,13472,8291,10591,33,6751,5022,12705,4511,7136,10525,
0,0,551184.1875,0.0,120,7713,16094,12575,11423,14112,8099,11423,33,7647,5278,12641,4831,7648,10269,
0,0,551200.1875,0.0,121,7778,286,12127,11167,13536,8035,10783,33,8607,6110,12641,5407,7328,10717,
0,0,551200.1875,0.0,122,7842,1758,12959,11487,13728,8675,10975,33,5919,4254,11297,4383,6944,10077,
0,0,551217.1875,0.0,123,7905,16094,12639,11231,13984,8547,11359,33,8927,6494,13153,5087,7968,10461,
0,0,551217.1875,0.0,124,7970,734,12703,11167,13344,8291,10847,33,8031,5854,13025,5087,7008,10653,
0,0,551217.1875,0.0,125,8033,16286,12703,11743,13792,8291,11167,33,7583,5982,12705,5023,7136,10205,
0,0,551233.1875,0.0,126,8097,16286,12767,11295,13408,8099,10527,33,8863,7326,13537,4703,7264,10205,
0,0,551233.1875,0.0,127,8162,1054,13087,11295,13472,8483,10911,33,6687,5022,11937,3999,6944,10333,
0,0,551249.1875,0.0,240,15393,15774,12511,11423,13728,8483,11167,33,8479,6110,12065,5087,7584,10845,
0,0,551249.1875,0.0,0,34,1054,12895,11359,13280,8227,10463,33,7519,6046,12641,4767,6880,10525,
0,0,551265.1875,0.0,1,98,158,12831,11615,14112,8547,11103,33,7519,6238,13345,4959,7904,10973,
0,0,551265.1875,0.0,2,161,15774,12127,11167,13792,8675,10975,33,8927,7134,13729,5727,8224,11677,
0,0,551281.1875,0.0,3,226,1374,12831,11295,13536,8483,11039,33,5983,4062,11553,4191,6560,10141,
0,0,551281.1875,0.0,4,289,15838,12639,11423,14048,7907,11231,33,7711,5470,12065,4447,7456,9757,
0,0,551297.1875,0.0,5,354,414,12511,11039,13536,8291,10655,33,7647,6366,12833,4575,7648,10589,
0,0,551297.1875,0.0,6,418,734,12895,11359,13728,8739,11359,33,7391,6110,13089,4831,7520,10909,
0,0,551313.1875,0.0,7,482,30,12511,11423,13472,8099,11039,33,9311,7326,14049,6175,7840,11165,
0,0,551313.1875,0.0,8,546,1246,12831,11423,13408,8163,10719,33,5919,4830,11873,4575,7264,10013,
0,0,551330.1875,0.0,9,609,15326,12383,11167,13856,8611,11167,33,6751,5534,11681,3871,7648,9693,
0,0,551330.1875,0.0,10,674,478,12511,11231,13280,8355,10399,33,7327,5918,12769,4575,7264,10397,
0,0,551346.1875,0.0,11,738,1246,12895,12063,13856,8291,10975,33,7007,5214,12833,5023,7776,10461,
0,0,551346.1875,0.0,12,801,15646,12063,11551,13920,7907,11295,33,9823,7582,13921,5471,8352,10717,
0,0,551362.1875,0.0,13,866,926,12639,11167,13536,8035,11039,33,6943,5726,12449,4255,6944,10205,
0,0,551362.1875,0.0,14,929,16030,12831,11615,14240,8291,11423,33,7327,5662,12001,4575,7648,10077,
0,0,551378.1875,0.0,15,993,16286,12511,11359,13728,8163,10719,33,8543,6430,12321,5023,7584,10269,
0,0,551378.1875,0.0,16,1058,1054,12767,11487,13856,8483,10975,33,6751,4958,11297,4511,6944,10077,
0,0,551394.1875,0.0,17,1121,16286,12319,11295,14240,7971,11103,33,8991,6814,13281,5407,7776,10781,
0,0,551394.1875,0.0,18,1186,1438,12767,10975,13600,7587,10719,33,7455,5726,13153,4831,7264,10845,
0,0,551410.1875,0.0,19,1249,16222,12511,11359,13984,8099,11231,33,7327,5662,12321,4767,7648,10589,
0,0,551410.1875,0.0,20,1314,94,11935,11487,13600,8163,10911,33,8031,6558,12705,4959,7456,10589,
0,0,551426.1875,0.0,21,1378,1566,12703,11551,13536,8227,11295,33,5919,4638,11745,4191,6880,10205,
0,0,551426.1875,0.0,22,1441,15646,12511,11167,13920,8035,11103,33,8223,6494,12577,5151,7840,10717,
0,0,551442.1875,0.0,23,1506,542,12639,11295,13408,7843,10399,33,7263,6302,12769,4767,7072,10333,
0,0,551442.1875,0.0,24,1569,16222,12703,11807,13792,8035,11359,33,7455,6302,13217,5087,7520,10653,
0,0,551459.1875,0.0,25,1633,15646,12383,11167,13664,7907,10847,33,9247,7326,14049,6175,8096,11293,
0,0,551459.1875,0.0,26,1698,862,12639,11359,13536,8035,10463,33,6239,4638,11809,4319,7008,9757,
0,0,551475.1875,0.0,27,1761,15518,11743,11871,13536,7907,10911,33,7519,5534,11873,3743,7264,9501,
0,0,551475.1875,0.0,28,1826,734,12255,11487,13088,8035,10655,33,7711,5790,12705,4447,7200,10397,
0,0,551475.1875,0.0,29,1890,734,12959,11359,13856,8483,11231,33,7967,6174,13281,5279,8096,10653,
0,0,551491.1875,0.0,30,1953,15774,12319,11295,13536,8035,10783,33,9887,7902,13793,5343,8096,11165,
0,0,551491.1875,0.0,31,2018,1054,12703,11551,13216,8035,10719,33,6303,4702,11425,3743,6304,10461,
0,0,551507.1875,0.0,32,2081,15710,12319,11423,13856,8355,11423,33,7263,5022,11297,4767,7264,10141,
0,0,551507.1875,0.0,33,2146,350,12447,11231,13280,8291,10911,33,7967,5790,12065,5599,7520,10781,
0,0,551523.1875,0.0,34,2210,990,13151,11807,13792,8291,11231,33,7327,5150,12321,4959,7456,10973,
0,0,551523.1875,0.0,35,2273,16030,12639,11487,13920,7779,11039,33,9823,7198,14049,5471,7776,10845,
0,0,551539.1875,0.0,36,2338,1502,12831,11359,13344,7843,10975,33,6943,5086,12321,4703,6880,10205,
0,0,551539.1875,0.0,37,2402,94,12639,11615,13856,8419,11679,33,6815,5086,11617,4895,7776,10397,
0,0,551555.1875,0.0,38,2466,414,12319,11167,13472,8291,10975,33,7775,6238,12769,4831,7520,10461,
0,0,551555.1875,0.0,39,2530,1182,12703,11423,13408,8099,11039,33,7135,5278,12321,4319,7008,10269,
0,0,551571.1875,0.0,40,2593,15902,12383,11487,13664,7779,11167,33,9311,6622,13153,5535,7904,11229,
0,0,551571.1875,0.0,41,2658,1246,12895,11295,13600,7971,10911,33,6943,5086,12513,4831,7200,10589,
0,0,551588.1875,0.0,42,2721,16286,12511,11423,14048,8419,11295,33,7647,5470,12321,4703,7520,10077,
0,0,551588.1875,0.0,43,2786,94,12063,11103,13472,8227,10527,33,8607,6494,12641,5279,7776,10909,
0,0,551604.1875,0.0,44,2850,1310,12639,11423,13664,8035,10911,33,5727,4382,11553,4319,7392,10141,
0,0,551604.1875,0.0,45,2913,15646,12127,11487,14048,7651,11359,33,8351,6174,12705,4959,7712,9757,
0,0,551620.1875,0.0,46,2978,1310,12511,11423,13408,7971,10655,33,7455,6046,12769,5023,7008,10077,
0,0,551620.1875,0.0,47,3042,670,12831,12063,13984,8547,11359,33,7455,6558,12961,5215,7968,10525,
0,0,551636.1875,0.0,48,3105,15902,12511,11551,14112,8035,11167,33,9439,7774,13729,5343,8160,10845,
0,0,551636.1875,0.0,49,3170,862,13023,11359,13984,8227,11039,33,6239,4574,11617,3999,6752,9885,
0,0,551652.1875,0.0,50,3233,15838,12639,11487,13792,8291,11487,33,7327,5150,11617,4511,7456,10205,
0,0,551652.1875,0.0,51,3298,1246,12831,11231,13216,7971,11039,33,7519,5470,12193,4703,7520,10781,
0,0,551668.1875,0.0,52,3362,1054,12959,11551,13920,8291,11231,33,7775,6174,13025,4959,7840,10461,
0,0,551668.1875,0.0,53,3425,16222,12447,11423,13600,8419,10719,33,9311,7966,14305,5599,7712,10525,
0,0,551684.1875,0.0,54,3490,1182,13023,11423,13472,8419,10783,33,5727,4702,12065,4063,6432,10013,
0,0,551684.1875,0.0,55,3553,15454,12319,11359,14112,8163,11359,33,7263,5214,11873,4255,7328,10141,
0,0,551701.1875,0.0,56,3618,158,12127,11039,13408,8035,10591,33,8223,6430,12961,4959,7520,10461,
0,0,551701.1875,0.0,57,3682,1182,13087,11615,13984,8483,11295,33,7391,5918,12961,5215,7840,10781,
0,0,551717.1875,0.0,58,3746,30,12575,11551,14304,7907,11103,33,9247,7262,13665,5791,8224,11421,
0,0,551717.1875,0.0,59,3810,1310,12447,11103,13536,7715,10463,33,6687,5150,11809,4383,7072,10461,
0,0,551733.1875,0.0,60,3873,15966,12447,11039,13920,8291,11103,33,7391,5662,11617,4703,7648,10269,
0,0,551733.1875,0.0,61,3938,478,12639,11103,13664,8163,10847,33,7839,6046,12705,5023,7008,10589,
0,0,551733.1875,0.0,62,4002,926,12831,11487,13664,8099,11231,33,6495,4894,12385,4319,6752,9885,
0,0,551749.1875,0.0,63,4065,15582,12063,11359,13792,8163,11359,33,9055,7262,13537,5471,8224,10717,
0,0,551749.1875,0.0,64,4130,1438,12639,11423,13472,8291,10911,33,6815,5726,12641,4959,7712,11037,
0,0,551765.1875,0.0,65,4193,16222,12703,11679,13984,8291,11295,33,7391,5534,12705,4703,7776,10525,
0,0,551765.1875,0.0,66,4257,15838,12255,11487,13664,7843,10975,33,8863,6622,13217,5023,7456,10653,
0,0,551781.1875,0.0,67,4322,1118,12767,11807,13792,8099,11487,33,6175,4702,11361,4447,7200,10333,
0,0,551781.1875,0.0,68,4385,15902,12511,11423,13856,8035,11487,33,8223,6046,12449,5279,8224,10653,
0,0,551797.1875,0.0,69,4450,862,12767,11167,13152,8163,10655,33,7455,5534,12897,5087,7712,10653,
0,0,551797.1875,0.0,70,4514,158,12959,11871,13664,8227,11039,33,7839,6366,13089,5279,7840,10397,
0,0,551813.1875,0.0,71,4577,16094,12895,11487,13344,8035,10527,33,9119,7710,13857,5599,7520,10525,
0,0,551813.1875,0.0,72,4642,862,13151,11231,13536,8419,10847,33,6111,4446,12001,4063,6432,10205,
0,0,551830.1875,0.0,73,4705,15326,12191,11295,13920,8227,11295,33,8031,5406,12385,4319,7520,10589,
0,0,551830.1875,0.0,74,4770,734,12703,11295,13344,7907,10399,33,7903,6238,12705,4703,7520,10525,
0,0,551846.1875,0.0,75,4834,542,13151,11871,14176,8099,10975,33,7775,6302,12577,5279,7904,10653,
0,0,551846.1875,0.0,76,4897,15774,12383,11615,13984,7971,10911,33,9183,7070,13473,5855,8352,11101,
0,0,551862.1875,0.0,77,4962,1054,12703,11167,13408,8227,10719,33,5983,3998,11809,4127,7072,9885,
0,0,551862.1875,0.0,78,5025,15774,12383,11103,13856,8291,11039,33,7775,5086,11745,4255,7456,9757,
0,0,551878.1875,0.0,79,5090,606,12319,11039,13536,8035,10655,33,8031,6430,12833,4767,7456,10653,
0,0,551878.1875,0.0,80,5154,862,12703,11295,13920,8227,11295,33,7199,6302,13409,4959,7904,10909,
0,0,551894.1875,0.0,81,5217,15838,12255,11167,13792,8099,11039,33,9375,7390,13857,5855,8288,11229,
0,0,551894.1875,0.0,82,5282,862,12895,11551,13472,8227,10783,33,6495,4766,11681,4575,6816,10333,
0,0,551910.1875,0.0,83,5345,15582,12511,11487,13856,8291,11295,33,7199,5598,11937,4319,7136,10269,
0,0,551910.1875,0.0,84,5410,414,12383,10719,13280,8163,10655,33,7903,6174,12641,4703,7008,10653,
0,0,551926.1875,0.0,85,5474,1182,12959,11487,13728,8483,11231,33,6623,4574,12065,4831,7520,10333,
0,0,551926.1875,0.0,86,5537,15710,12319,11615,13984,8099,11295,33,9695,7070,13985,5407,8480,11037,
0,0,551942.1875,0.0,87,5602,1310,12767,11231,13472,8099,10847,33,7583,5790,12961,4319,7264,10909,
0,0,551942.1875,0.0,88,5666,94,12959,11679,13856,8419,11423,33,7263,5534,12065,4511,7456,10397,
0,0,551959.1875,0.0,89,5729,16222,12511,11423,13344,8035,10719,33,8415,6942,13153,4895,7392,10397,
0,0,551959.1875,0.0,90,5794,862,12831,11231,13600,8163,10847,33,6431,5278,12129,3999,6880,10077,
0,0,551975.1875,0.0,91,5857,15710,12383,11295,14048,7843,11295,33,8415,6430,12641,4575,7520,10781,
0,0,551975.1875,0.0,92,5922,1054,12511,11231,13280,7715,10719,33,7647,6046,12833,4511,6816,10781,
0,0,551991.1875,0.0,93,5986,350,12575,11423,13792,8291,11039,33,7839,6430,13089,5215,7456,10653,
0,0,551991.1875,0.0,94,6050,158,12319,11103,13856,8227,10655,33,8607,7006,13153,5535,7712,11293,
0,0,551991.1875,0.0,95,6114,1438,12703,11167,13664,8163,10847,33,6047,4638,11617,3807,6752,10717,
0,0,552007.1875,0.0,96,6177,15774,12447,11295,13984,8099,11103,33,8031,6366,12449,4639,7456,10269,
0,0,552007.1875,0.0,97,6242,734,12639,11423,13536,8419,10655,33,7071,5982,12385,4831,7328,10269,
0,0,552023.1875,0.0,98,6306,222,12639,11679,13856,8675,11359,33,7583,5982,12833,4895,8096,10909,
0,0,552023.1875,0.0,99,6369,15774,12191,11167,13536,8163,10911,33,10015,7582,13857,5919,8288,11165,
0,0,552039.1875,0.0,100,6434,1118,12639,11551,13408,8355,10527,33,6111,4318,11425,4511,6304,9629,
0,0,552039.1875,0.0,101,6497,15326,11999,11871,13728,8547,11103,33,7071,4958,11617,4127,6752,9757,
0,0,552055.1875,0.0,102,6562,158,12255,11423,13280,8227,10655,33,8095,6174,12769,4831,7456,10653,
0,0,552055.1875,0.0,103,6626,670,12895,11551,13728,7843,10847,33,7647,6046,13089,5087,7904,10269,
0,0,552071.1875,0.0,104,6689,15902,12063,11423,13472,7523,10719,33,9567,7582,14241,5087,7712,10589,
0,0,552071.1875,0.0,105,6754,1310,12383,11423,13152,8227,11039,33,6559,4958,12193,3743,6304,10397,
0,0,552088.1875,0.0,106,6817,15966,12447,11423,13664,8547,11487,33,7391,5022,11937,4383,7456,10397,
0,0,552088.1875,0.0,107,6882,350,12575,11167,13024,7907,10719,33,7839,5854,12641,4703,7584,10525,
0,0,552104.1875,0.0,108,6946,1054,13087,11615,13728,8035,11103,33,6623,5342,12065,4575,7072,10461,
0,0,552104.1875,0.0,109,7009,15774,12511,11551,14048,8227,10911,33,9055,7390,13537,5919,7584,11037,
0,0,552120.1875,0.0,110,7074,1182,12831,11423,13408,8419,10463,33,6879,5470,12705,4831,6880,10589,
0,0,552120.1875,0.0,111,7137,16286,12639,11551,13920,8547,11359,33,7007,5278,11937,4383,7520,10653,
0,0,552136.1875,0.0,112,7202,94,12191,11103,13728,7907,10719,33,7839,6046,12513,4831,7072,10973,
0,0,552136.1875,0.0,113,7266,1182,12703,11295,13664,7779,10847,33,6111,4510,11937,4255,6432,10013,
0,0,552152.1875,0.0,114,7329,15710,12383,11167,13728,7907,11231,33,8351,6622,13025,4959,7648,10461,
0,0,552152.1875,0.0,115,7394,1054,12639,10975,13408,8227,10847,33,7071,5790,12577,4383,7136,11101,
0,0,552168.1875,0.0,116,7458,478,12575,11615,13792,8163,11295,33,7839,5854,12769,4767,7584,11101,
0,0,552168.1875,0.0,117,7522,158,12511,11231,13152,7715,10719,33,8927,6750,13537,5535,8032,10845,
0,0,552184.1875,0.0,118,7586,1054,13087,11103,13408,8099,10847,33,5663,4446,11745,4127,7008,9885,
0,0,552184.1875,0.0,119,7649,15454,12255,11359,13984,7907,11039,33,7967,6238,12129,4703,7136,10269,
0,0,552201.1875,0.0,120,7714,1054,12511,11487,13472,7651,10527,33,7711,5790,12577,5215,6880,10589,
0,0,552201.1875,0.0,121,7778,926,13087,11679,13920,8163,11615,33,7647,5918,13281,5023,7712,10461,
0,0,552217.1875,0.0,122,7841,15902,12639,11103,13664,8291,11359,33,9823,8158,14369,5023,7648,10973,
0,0,552217.1875,0.0,123,7906,606,12959,11103,13344,8419,10719,33,6495,4958,11809,4063,6496,10269,
0,0,552233.1875,0.0,124,7969,15646,12575,11359,13728,8227,10911,33,7263,5022,11425,4639,7520,10013,
0,0,552233.1875,0.0,125,8034,798,12703,11487,13280,7907,10783,33,7775,5918,12641,4767,7392,10589,
0,0,552249.1875,0.0,126,8098,734,12895,11935,13856,8227,11487,33,7647,5790,13473,4895,7392,10717,
0,0,552249.1875,0.0,127,8161,15838,12255,11423,13856,7907,10975,33,8927,7070,13985,5407,7776,10909,
0,0,552249.1875,0.0,240,15394,1310,12831,11551,13216,7971,10655,33,5983,4766,11425,3871,6816,10141,
0,0,552265.1875,0.0,0,33,15902,12511,11615,13664,8227,11167,33,7647,5470,11617,4447,7328,10269,
0,0,552265.1875,0.0,1,98,286,12191,10783,13472,7971,10399,33,8031,6110,13025,5535,7072,10781,
0,0,552281.1875,0.0,2,162,1118,12703,11295,13856,7843,10975,33,6687,5534,12449,5087,7520,10589,
0,0,552281.1875,0.0,3,225,15966,12191,11679,13792,7907,11231,33,9695,7646,13281,5471,8608,10909,